gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\ARB\ARB_color_buffer_float.txt                         : Dependencies on WGL_ARB_pixel_format
gl ext spec\ARB\ARB_texture_storage.txt                            : Dependencies on WGL_ARB_render_texture, GLX_EXT_texture_from_pixmap, EGL
gl ext spec\3DL\WGL_3DL_stereo_control.txt                         : Dependencies on WGL_EXT_extensions_string
gl ext spec\I3D\WGL_I3D_digital_video_control.txt                  : Dependencies on WGL_I3D_gamma
gl ext spec\NV\NV_present_video.txt                                : Dependencies on WGL_NV_video_out:
gl ext spec\ARB\ARB_vertex_type_2_10_10_10_rev.txt                 : Dependencies with EXT_vertex_array_bgra
gl ext spec\ATI\ATI_fragment_shader.txt                            : Deprecated Functionality
gl ext spec\ARB\ARB_shader_image_size.txt                          : Description:
gl ext spec\EXT\EXT_draw_range_elements.txt                        : Design Decisions: The idea of providing a set of vertex indices along with a set of element indices was considered but dropped as it still may require some preprocessing, although there is some reduction in overhead from glDrawElements. The implementation may require internal vertex data to be contiguous, in which case a gather operation would have to be performed with the vertex index list before vertex data could be processed. It is expected that most apps will keep vertex data for particular elements packed consecutively anyway so the added flexibility of a vertex index list would potentially impose overhead with little expected benefit. In the case where a vertex index list really is necessary to avoid performance penalties due to sparse vertex usage glDrawElements should provide performance similar to what such an API would have.
gl ext spec\EXT\EXT_clip_control.txt                               : Differences from GL_ARB_clip_control
gl ext spec\ARB\ARB_viewport_array.txt                             : Direct3D 11 specifies that rasterization along the one-pixel edges of fractional viewports to be undefined. If implementations want defined behavior with fractional viewports, they can program a slightly wider viewport and scissor away the pixels along the edge of the expanded viewport.
gl ext spec\INTEL\INTEL_parallel_arrays.txt                        : efficient for SIMD architectures as well as caching. In addition to storing vertex data in staggered in a single array, or sparsely in separate arrays as possible with existing vertex arrays, coordinates may be stored in individual arrays. The parallel array mode is enabled using Enable(PARALLEL_ARRAYS). Pointers to the coordinate arrays are specified using new vector versions of the Pointer functions.
gl ext spec\OES\OES_vertex_array_object.txt                        : END(ES1)
gl ext spec\OES\OES_vertex_array_object.txt                        : END(ES2)
gl ext spec\ARB\ARB_viewport_array.txt                             : equivalent results to those specified by OpenGL. When using guardband clipping, primitives are not clipped tightly to the view volume in X/Y:
gl ext spec\3DFX\3DFX_multisample.txt                              : Errors
gl ext spec\ARB\ARB_create_context_no_error.txt                    : Errors for GLX
gl ext spec\EXT\EXT_texture_compression_s3tc.txt                   : Errors for OpenGL 1.2.1 Specification
gl ext spec\EXT\EXT_texture_compression_s3tc.txt                   : Errors for OpenGL ES 2.0.25 Specification
gl ext spec\EXT\EXT_texture_compression_s3tc.txt                   : Errors for OpenGL ES 3.0.2 Specification
gl ext spec\EXT\EXT_texture_compression_s3tc_srgb.txt              : Errors for OpenGL ES 3.0.4 Specification
gl ext spec\ARB\ARB_create_context_no_error.txt                    : Errors for WGL
gl ext spec\SGIX\SGIX_subdiv_patch.txt                             : Errors:
gl ext spec\IMG\IMG_framebuffer_downsample.txt                     : Example
gl ext spec\AMD\AMD_pinned_memory.txt                              : Example Usage
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Example Use Cases
gl ext spec\AMD\AMD_interleaved_elements.txt                       : Examples
gl ext spec\ARB\ARB_enhanced_layouts.txt                           : Examples:
gl ext spec\SGI\akeley_future_extensions.txt                       : Features that have since been implemented:
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : Finally, the fact that all this has to be done in software slows down the process tremendously.
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : First, most texture memory in machines are never large enough to fit the entire volumetric dataset. Hence, to use 3D texture mapping to render volumes, one has to partition the volume into blocks large enough to fit in the available texture memory. This requires one to clip the primitives the straddle texture block boundaries, for oblique viewing angles. In straightforward volume rendering, this clipping may be easily done through the definition of clip planes in GL, because there is a linear correspondence between the texture coordinate 'w' and the spatial coordinate 'z' of each point in the volume.
gl ext spec\SUN\SUN_vertex.txt                                     : float *c,
gl ext spec\SUN\SUN_vertex.txt                                     : float *tc,
gl ext spec\SUN\SUN_vertex.txt                                     : float *v);
gl ext spec\OES\OES_stencil_wrap.txt                               : For more information, see the OpenGL ES 1.1 Extension Pack document in the Khronos API Registry:
gl ext spec\ARB\ARB_viewport_array.txt                             : Fractional viewports make things more complicated, particularly if the implementation doesn't scissor at a per-sample granularity. In this case, tight view volume clipping will result in primitives that are fully contained within the fractional viewport (to the limits of clipping math, at least). Guardband clipping will have primitives that extend beyond the viewport and probably cover full pixels at the boundary of the viewport. (This discussion assumes that a guardband implementation with fractional viewports extends its viewport clip to pass on pixels containing any fraction of the floating-point viewport.)
gl ext spec\NV\NV_fence.txt                                        : GeForce Implementation Details
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : Get Value Get Command Type Initial Value Attribute TEXTURE_SCISSOR_INTEL IsEnabled B False texture / enable TEXTURE_SCISSOR_S_INTEL GetFloatv R 0.0, 1.0 texture / enable TEXTURE_SCISSOR_T_INTEL GetFloatv R 0.0, 1.0 texture / enable TEXTURE_SCISSOR_R_INTEL GetFloatv R 0.0, 1.0 texture / enable TEXTURE_SCISSOR_FUNC_INTEL GetIntegerv Z6 GL_GEQUAL, GL_LESS texture / enable
gl ext spec\EXT\EXT_draw_range_elements.txt                        : GL_INVALID_VALUE will be returned if end is less than start. Other errors are as for glDrawElements.
gl ext spec\EXT\EXT_draw_range_elements.txt                        : GL_MAX_ELEMENTS_VERTICES_EXT 0x80E8 GL_MAX_ELEMENTS_INDICES_EXT 0x80E9
gl ext spec\EXT\EXT_draw_range_elements.txt                        : glDrawRangeElementsEXT is a restricted form of glDrawElements. All vertices referenced by indices must lie between start and end inclusive. Not all vertices between start and end must be referenced, however unreferenced vertices may be sent through some of the vertex pipeline before being discarded, reducing performance from what could be achieved by an optimal index set. Index values which lie outside the range will cause implementation-dependent results.
gl ext spec\EXT\EXT_draw_range_elements.txt                        : glDrawRangeElementsEXT is designed to avoid the preprocessing steps which may be necessary for glDrawElements. As such it does not have the flexibility of glDrawElements but it is sufficiently functional for a large class of applications to benefit from its use. glDrawRangeElementsEXT enhances glDrawElements in two ways:
gl ext spec\EXT\EXT_draw_range_elements.txt                        : glDrawRangeElementsEXT may also be further constrained to only operate at maximum performance for limited amounts of data. Implementations may advertise recommended maximum amounts of vertex and index data using the GL_MAX_ELEMENTS_VERTICES_EXT and GL_MAX_ELEMENTS_INDICES_EXT enumerants. If a particular call to glDrawRangeElementsEXT has (end-start+1) greater than GL_MAX_ELEMENTS_VERTICES_EXT or if count is greater than GL_MAX_ELEMENTS_INDICES_EXT then the implementation may be forced to process the data less efficiently than it could have with less data. An implementation which has no effective limits can advertise the maximum integer value for the two enumerants. An implementation must always process a glDrawRangeElementsEXT call with valid parameters regardless of the amount of data passed in the call.
gl ext spec\APPLE\APPLE_row_bytes.txt                              : Glossary
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Glossary of Helpful Terms
gl ext spec\NV\NV_texture_array.txt                                : GLSL Grammar Changes
gl ext spec\ARB\GLX_ARB_create_context.txt                         : GLX Errors
gl ext spec\ARB\ARB_explicit_attrib_location.txt                   : GLX protocol
gl ext spec\3DFX\3DFX_texture_compression_FXT1.txt                 : GLX Protocol
gl ext spec\ARB\ARB_half_float_pixel.txt                           : GLX Protocol (Modification to the GLX 1.3 Protocol Encoding Specification)
gl ext spec\OES\OES_texture_3D.txt                                 : Grammar changes
gl ext spec\NV\GLX_NV_video_out.txt                                : History
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : If EXT_texture3D is not supported, references to texture target GL_R are invalid and should be ignored.
gl ext spec\OES\OES_vertex_array_object.txt                        : IF(ES1)
gl ext spec\OES\OES_vertex_array_object.txt                        : IF(ES2)
gl ext spec\APPLE\APPLE_fence.txt                                  : Implementation Details
gl ext spec\ARB\ARB_texture_compression_rgtc.txt                   : Implementation Note
gl ext spec\APPLE\APPLE_element_array.txt                          : Implementation Notes
gl ext spec\EXT\EXT_framebuffer_multisample.txt                    : In 4.3.3 (Copying Pixels), add to the section describing BlitFramebuffer that was added by EXT_framebuffer_blit.
gl ext spec\ARB\ARB_stencil_texturing.txt                          : In Table 3.22 (Texture parameters and their values) add the following entry:
gl ext spec\EXT\EXT_draw_range_elements.txt                        : indicated by the implementation through GL_MAX_ELEMENTS_VERTICES_EXT and GL_MAX_ELEMENTS_INDICES_EXT. If an application respects these limits it removes the need to split the incoming data into multiple chunks since the maximums can be set to the optimal values for the implementation to handle in one pass.
gl ext spec\EXT\EXT_draw_range_elements.txt                        : indicated via the start and end parameters, removing the necessity to determine this through examination of the index data. The implementation is given a contiguous chunk of vertex data that it can immediately begin streaming through the vertex pipeline.
gl ext spec\ARB\ARB_stencil_texturing.txt                          : Insert a new paragraph after the paragraphs that ends:
gl ext spec\ARB\ARB_stencil_texturing.txt                          : Insert a new paragraph at the end of Section 8.9:
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Insert a pragraph prior to third paragraph, p. 73 beginning with "Similary, when a program..."
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Insert Section 4.1.8 Atomic Counters (existing 4.1.8 becomes 4.1.9, and so on)
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Insert Section 4.3.6 Atomic Counters. (Existing 4.3.6 becomes 4.3.7, and so on)
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Insert section prior to the last paragraph on p. 76, begining with "Each active uniform, whether in a named..."
gl ext spec\ARB\ARB_viewport_array.txt                             : Instead, looser (or no) clipping is applied, for example:
gl ext spec\ARB\WGL_ARB_render_texture.txt                         : Intended Usage
gl ext spec\AMD\AMD_framebuffer_sample_positions.txt               : Interaction with ARB_texture_multisample
gl ext spec\ARB\ARB_vertex_type_2_10_10_10_rev.txt                 : Interaction with OpenGL 3.2, Core Profile
gl ext spec\AMD\AMD_vertex_shader_layer.txt                        : Interaction with versions of OpenGL prior to 3.2 or with the absence of ARB_geometry_shader4
gl ext spec\KHR\KHR_texture_compression_astc_sliced_3d.txt         : Interactions
gl ext spec\EXT\EXT_texture_compression_s3tc.txt                   : Interactions of extended OpenGL ES 2.0.25 with NV_texture_array
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with AMD_gpu_shader_half_float and SPV_AMD_gpu_shader_half_float:
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with AMD_shader_explicit_vertex_parameter and SPV_AMD_shader_explicit_vertex_parameter:
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Interactions with AMDX_vertex_shader_tessellator
gl ext spec\OES\OES_texture_npot.txt                               : Interactions with APPLE_texture_2D_limited_npot
gl ext spec\ARB\ARB_vertex_array_object.txt                        : Interactions with APPLE_vertex_array_object
gl ext spec\ARB\ARB_depth_clamp.txt                                : Interactions with ARB_compatibility
gl ext spec\NV\NV_depth_buffer_float.txt                           : Interactions with ARB_depth_buffer_float
gl ext spec\NV\NV_mesh_shader.txt                                  : Interactions with ARB_draw_indirect and NV_vertex_buffer_unified_memory
gl ext spec\EXT\EXT_shader_integer_mix.txt                         : Interactions with ARB_ES3_compatibility
gl ext spec\ARB\ARB_fragment_shader.txt                            : Interactions with ARB_fragment_program
gl ext spec\ARB\ARB_uniform_buffer_object.txt                      : Interactions with ARB_geometry_shader4
gl ext spec\NV\NV_mesh_shader.txt                                  : Interactions with ARB_indirect_parameters and OpenGL 4.6
gl ext spec\ARB\ARB_texture_view.txt                               : Interactions with ARB_internalformat_query2
gl ext spec\ARB\ARB_vertex_shader.txt                              : Interactions with ARB_matrix_palette
gl ext spec\INTEL\INTEL_conservative_rasterization.txt             : Interactions with ARB_post_depth_coverage
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with ARB_post_depth_coverage or EXT_post_depth_coverage and SPV_KHR_post_depth_coverage:
gl ext spec\ARB\ARB_viewport_array.txt                             : Interactions with ARB_provoking_vertex, EXT_provoking_vertex, and OpenGL 3.2 or later
gl ext spec\NV\NV_command_list.txt                                 : Interactions with ARB_robust_buffer_access_behavior
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with ARB_sample_shading and OES_sample_shading
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with ARB_seamless_cubemap and AMD_seamless_cubemap_per_texture
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with ARB_shader_atomic_counter_ops and SPV_KHR_shader_atomic_counter_ops:
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with ARB_shader_ballot and SPV_KHR_shader_ballot:
gl ext spec\NV\NV_command_list.txt                                 : Interactions with ARB_shader_draw_parameters
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with ARB_shader_draw_parameters and SPV_KHR_shader_draw_parameters:
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with ARB_shader_group_vote and SPV_KHR_subgroup_vote:
gl ext spec\NV\NV_transform_feedback.txt                           : Interactions with ARB_shader_objects and OpenGL 2.0
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with ARB_shader_viewport_layer_array and SPV_NV_viewport_array2:
gl ext spec\ARB\ARB_fragment_program.txt                           : Interactions with ARB_shadow
gl ext spec\ARB\ARB_shader_texture_lod.txt                         : Interactions with ARB_texture_rectangle
gl ext spec\ARB\ARB_vertex_shader.txt                              : Interactions with ARB_vertex_blend
gl ext spec\ARB\ARB_fragment_program.txt                           : Interactions with ARB_vertex_program
gl ext spec\ARB\ARB_fragment_shader.txt                            : Interactions with ARB_vertex_program and ARB_fragment_program
gl ext spec\ARB\ARB_fragment_shader.txt                            : Interactions with ARB_vertex_shader
gl ext spec\ARM\ARM_shader_framebuffer_fetch_depth_stencil.txt     : Interactions with ARM_shader_framebuffer_fetch
gl ext spec\QCOM\QCOM_shader_framebuffer_fetch_rate.txt            : Interactions with ARM_shader_framebuffer_fetch_depth_stencil.
gl ext spec\ARB\ARB_fragment_program.txt                           : Interactions with ATI_fragment_shader
gl ext spec\ARB\ARB_shader_texture_lod.txt                         : Interactions with ATI_texture_shader_lod
gl ext spec\EXT\EXT_robustness.txt                                 : Interactions with EGL_EXT_create_context_robustness
gl ext spec\EXT\EXT_texture_sRGB_decode.txt                        : Interactions with ETC2 compressed texture formats
gl ext spec\EXT\EXT_clear_texture.txt                              : Interactions with EXT/OES_texture_buffer or OpenGL ES 3.2
gl ext spec\EXT\EXT_clear_texture.txt                              : Interactions with EXT/OES_texture_cube_map_array or OpenGL ES 3.2
gl ext spec\IMG\IMG_framebuffer_downsample.txt                     : Interactions with EXT_color_buffer_float and EXT_color_buffer_half_float
gl ext spec\EXT\EXT_texture_norm16.txt                             : Interactions with EXT_copy_image
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with EXT_direct_state_access
gl ext spec\NV\NV_fbo_color_attachments.txt                        : Interactions with EXT_discard_framebuffer
gl ext spec\NV\NV_viewport_array.txt                               : Interactions with EXT_draw_buffers_indexed
gl ext spec\OES\OES_viewport_array.txt                             : Interactions with EXT_draw_buffers_indexed, OES_draw_buffers_indexed and OpenGL ES 3.2
gl ext spec\NV\NV_scissor_exclusive.txt                            : Interactions with EXT_draw_buffers2 or EXT_direct_state_access
gl ext spec\NV\NV_scissor_exclusive.txt                            : Interactions with EXT_draw_buffers2 or EXT_transform_feedback or NV_transform_feedback or EXT_direct_state_access
gl ext spec\EXT\EXT_gpu_shader4.txt                                : Interactions with EXT_draw_instanced
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Interactions with EXT_geometry_shader4
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with EXT_geometry_shader4 or NV_gpu_program4
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Interactions with EXT_gpu_shader4
gl ext spec\OES\OES_EGL_image_external_essl3.txt                   : Interactions with EXT_gpu_shader5 and OES_gpu_shader5
gl ext spec\IMG\IMG_framebuffer_downsample.txt                     : Interactions with EXT_multisampled_render_to_texture
gl ext spec\EXT\EXT_debug_label.txt                                : Interactions with EXT_occlusion_query_boolean
gl ext spec\EXT\EXT_debug_label.txt                                : Interactions with EXT_separate_shader_objects
gl ext spec\ARM\ARM_shader_framebuffer_fetch_depth_stencil.txt     : Interactions with EXT_shader_framebuffer_fetch
gl ext spec\QCOM\QCOM_shader_framebuffer_fetch_rate.txt            : Interactions with EXT_shader_framebuffer_fetch.
gl ext spec\NV\NV_bindless_texture.txt                             : Interactions with EXT_shader_io_blocks
gl ext spec\NV\NV_stereo_view_rendering.txt                        : Interactions with EXT_tessellation_shader
gl ext spec\ARB\ARB_shader_texture_lod.txt                         : Interactions with EXT_texture_anisotropic
gl ext spec\ARB\ARB_uniform_buffer_object.txt                      : Interactions with EXT_texture_array
gl ext spec\EXT\EXT_texture_filter_minmax.txt                      : Interactions with EXT_texture_border_clamp
gl ext spec\EXT\EXT_texture_norm16.txt                             : Interactions with EXT_texture_buffer
gl ext spec\ARB\ARB_uniform_buffer_object.txt                      : Interactions with EXT_texture_buffer_object
gl ext spec\EXT\EXT_texture_norm16.txt                             : Interactions with EXT_texture_compression_rgtc (or equivalent):
gl ext spec\EXT\EXT_texture_norm16.txt                             : Interactions with EXT_texture_compression_s3tc (or equivalent):
gl ext spec\NV\NV_bindless_texture.txt                             : Interactions with EXT_texture_cube_map_array
gl ext spec\AMD\AMD_texture_texture4.txt                           : Interactions with EXT_texture_filter_anisotropic
gl ext spec\ARB\ARB_uniform_buffer_object.txt                      : Interactions with EXT_texture_integer
gl ext spec\EXT\EXT_render_snorm.txt                               : Interactions with EXT_texture_norm16
gl ext spec\ANGLE\ANGLE_depth_texture.txt                          : Interactions with EXT_texture_storage
gl ext spec\EXT\EXT_texture_norm16.txt                             : Interactions with EXT_texture_view
gl ext spec\EXT\EXT_transform_feedback.txt                         : Interactions with EXT_timer_query
gl ext spec\ARB\ARB_vertex_program.txt                             : Interactions with EXT_vertex_shader
gl ext spec\EXT\EXT_gpu_shader4.txt                                : Interactions with GL_ARB_color_buffer_float
gl ext spec\EXT\EXT_gpu_shader4.txt                                : Interactions with GL_ARB_texture_rectangle
gl ext spec\EXT\EXT_external_buffer.txt                            : Interactions with GL_EXT_direct_state_access, GL_ARB_direct_state_access and OpenGL 4.5
gl ext spec\AMD\GLX_AMD_gpu_association.txt                        : Interactions with GL_EXT_framebuffer_blit
gl ext spec\AMD\GLX_AMD_gpu_association.txt                        : Interactions with GL_EXT_framebuffer_object
gl ext spec\EXT\EXT_bindable_uniform.txt                           : Interactions with GL_EXT_geometry_shader4
gl ext spec\EXT\EXT_gpu_shader4.txt                                : Interactions with GL_EXT_texture_array
gl ext spec\EXT\EXT_texture_compression_astc_decode_mode.txt       : Interactions with GL_KHR_texture_compression_astc_hdr
gl ext spec\EXT\EXT_gpu_shader4.txt                                : Interactions with GL_NV_primitive_restart
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with GLSL 4.20
gl ext spec\NV\NV_bindless_texture.txt                             : Interactions with GLSL 4.20 and GLSL ES 3.10
gl ext spec\ARB\ARB_robustness.txt                                 : Interactions with GLX_ARB_create_context_robustness
gl ext spec\EXT\GLX_EXT_no_config_context.txt                      : Interactions with GLX_ARB_fbconfig_float
gl ext spec\AMD\GLX_AMD_gpu_association.txt                        : Interactions with GLX_create_context
gl ext spec\EXT\GLX_EXT_no_config_context.txt                      : Interactions with GLX_EXT_fbconfig_packed_float
gl ext spec\AMD\GLX_AMD_gpu_association.txt                        : Interactions with GLX_SGI_make_current_read
gl ext spec\KHR\KHR_texture_compression_astc_hdr.txt               : Interactions with immutable-format texture images
gl ext spec\EXT\EXT_texture_sRGB_decode.txt                        : Interactions with KHR_texture_compression_astc_ldr
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with NV_bindless_texture
gl ext spec\NV\NV_command_list.txt                                 : Interactions with NV_bindless_texture or ARB_bindless_texture
gl ext spec\NV\NV_mesh_shader.txt                                  : Interactions with NV_command_list
gl ext spec\ARB\ARB_viewport_array.txt                             : Interactions with NV_depth_buffer_float
gl ext spec\NV\NV_polygon_mode.txt                                 : Interactions with NV_draw_texture
gl ext spec\NV\NV_texture_multisample.txt                          : Interactions with NV_explicit_multisample
gl ext spec\ARB\ARB_fragment_program.txt                           : Interactions with NV_fragment_program
gl ext spec\NV\NV_texture_array.txt                                : Interactions with NV_framebuffer_blit
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with NV_framebuffer_multisample_coverage
gl ext spec\ARB\ARB_viewport_array.txt                             : Interactions with NV_geometry_program4
gl ext spec\NV\NV_viewport_array2.txt                              : Interactions with NV_geometry_shader_passthrough
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with NV_geometry_shader_passthrough and SPV_NV_geometry_shader_passthrough:
gl ext spec\NV\NV_viewport_array2.txt                              : Interactions with NV_gpu_program4
gl ext spec\NV\NV_conservative_raster_underestimation.txt          : Interactions with NV_gpu_program4 and NV_gpu_program5
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with NV_gpu_program4, NV_gpu_program5, and EXT_shader_image_load_store
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Interactions with NV_gpu_program5
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with NV_gpu_shader5
gl ext spec\NV\NV_command_list.txt                                 : Interactions with NV_parameter_buffer_object
gl ext spec\NV\NV_texture_array.txt                                : Interactions with NV_pixel_buffer_object
gl ext spec\ARB\ARB_point_sprite.txt                               : Interactions with NV_point_sprite
gl ext spec\ARB\ARB_timer_query.txt                                : Interactions with NV_present_video and NV_video_capture
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with NV_sample_mask_override_coverage and SPV_NV_sample_mask_override_coverage:
gl ext spec\NV\NV_command_list.txt                                 : Interactions with NV_shader_buffer_load
gl ext spec\EXT\EXT_texture_sRGB_decode.txt                        : Interactions with NV_sRGB_formats
gl ext spec\EXT\EXT_texture_norm16.txt                             : Interactions with NV_sRGB_formats (or equivalent):
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with NV_stereo_view_rendering and SPV_NV_stereo_view_rendering:
gl ext spec\NV\NV_bgr.txt                                          : Interactions with NV_texture_array
gl ext spec\EXT\EXT_transform_feedback.txt                         : Interactions with NV_transform_feedback
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with NV_vertex_attrib_integer_64bit
gl ext spec\ARB\ARB_vertex_program.txt                             : Interactions with NV_vertex_program
gl ext spec\NV\NV_scissor_exclusive.txt                            : Interactions with NV_viewport_array or OES_viewport_array
gl ext spec\NV\NV_viewport_swizzle.txt                             : Interactions with NV_viewport_array2
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with NV_viewport_array2 and SPV_NV_viewport_array2:
gl ext spec\NV\NV_texture_array.txt                                : Interactions with OES_depth_texture
gl ext spec\OES\OES_texture_npot.txt                               : Interactions with OES_framebuffer_object
gl ext spec\ANGLE\ANGLE_depth_texture.txt                          : Interactions with OES_packed_depth_stencil
gl ext spec\NV\NV_bindless_texture.txt                             : Interactions with OES_shader_image_atomic
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OES_standard_derivatives
gl ext spec\APPLE\APPLE_texture_2D_limited_npot.txt                : Interactions with OES_texture_3D
gl ext spec\APPLE\APPLE_texture_2D_limited_npot.txt                : Interactions with OES_texture_cube_map
gl ext spec\APPLE\APPLE_texture_2D_limited_npot.txt                : Interactions with OES_texture_npot
gl ext spec\NV\NV_texture_array.txt                                : Interactions with OES_texture_npot and NV_texture_npot_2D_mipmap
gl ext spec\EXT\EXT_texture_filter_minmax.txt                      : Interactions with OES_texture_stencil8
gl ext spec\EXT\EXT_clear_texture.txt                              : Interactions with OES_texture_stencil8 or OpenGL ES 3.2
gl ext spec\EXT\EXT_texture_norm16.txt                             : Interactions with OES_texture_storage_multisample_2d_array
gl ext spec\EXT\EXT_debug_label.txt                                : Interactions with OES_vertex_array_object
gl ext spec\KHR\KHR_robust_buffer_access_behavior.txt              : Interactions with OpenGL
gl ext spec\KHR\KHR_texture_compression_astc_hdr.txt               : Interactions with OpenGL (all versions)
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL 2.0
gl ext spec\ARB\ARB_uniform_buffer_object.txt                      : Interactions with OpenGL 3.0
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL 3.0 and later
gl ext spec\OVR\OVR_multiview.txt                                  : Interactions with OpenGL 3.0 Compatibility Profile
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 3.0 or ARB_framebuffer_object
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 3.0 or ARB_map_buffer_range
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 3.0 or ARB_vertex_array_object
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with OpenGL 3.0 or EXT_framebuffer_blit
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with OpenGL 3.0 or EXT_framebuffer_multisample
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with OpenGL 3.0 or the APPLE_vertex_array_object
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with OpenGL 3.0 or the EXT_texture_integer specification
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 3.1 or ARB_copy_buffer
gl ext spec\NV\NV_vertex_buffer_unified_memory.txt                 : Interactions with OpenGL 3.2
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with OpenGL 3.3 and ARB_sampler_objects
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 3.3 or ARB_instanced_arrays
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 3.3 or ARB_sampler_objects
gl ext spec\OVR\OVR_multiview.txt                                  : Interactions with OpenGL 3.3, ARB_timer_query, and EXT_disjoint_timer_query
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with OpenGL 4.0 (Core Profile)
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL 4.0 and later
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.0 or ARB_transform_feedback2
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.1 or ARB_separate_shader_objects
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.1 or ARB_vertex_attrib_64bit
gl ext spec\KHR\KHR_texture_compression_astc_hdr.txt               : Interactions with OpenGL 4.2
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.2 or ARB_texture_storage
gl ext spec\ARB\ARB_bindless_texture.txt                           : Interactions with OpenGL 4.2, ARB_shader_image_load_store, and EXT_shader_image_load_store
gl ext spec\NV\NV_bindless_texture.txt                             : Interactions with OpenGL 4.2, OpenGL ES 3.1, ARB_shader_image_load_store, and EXT_shader_image_load_store
gl ext spec\NV\NV_fill_rectangle.txt                               : Interactions with OpenGL 4.3 (Core Profile) and OpenGL ES 3.1
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.3 or ARB_clear_buffer_object
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.3 or ARB_framebuffer_no_attachments
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.3 or ARB_invalidate_subdata
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.3 or ARB_texture_buffer_range
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.3 or ARB_texture_storage_multisample
